Promotion Seen,Timestamp
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1618616109
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1617998257
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1617000939
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1617000952
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SAVED"">Navigation Tab Maps Saved</span>",1621796817
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1620343583
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CHALLENGES"">Navigation Tab Groups Challenges</span>",1620343588
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CLUBS"">Navigation Tab Groups Clubs</span>",1620675917
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_DISMISSED"">Navigation You Progress Education Dismissed</span>",1620339609
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620337965
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620337967
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620338911
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620339642
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620339888
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620343578
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620338953
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620338963
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620339594
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620343583
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620412682
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620412968
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620412978
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620423320
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620675916
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_MAPS_J2"">Navigation Tab Education Modal Maps J2</span>",1622729073
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_GROUPS_J2"">Navigation Tab Education Modal Groups J2</span>",1622729104
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.ACTIVITY_DETAILS_LEADERBOARD_QUALITY_COACHMARK"">Activity Details Leaderboard Quality Coachmark</span>",1627439905
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.ACTIVITY_DETAILS_LEADERBOARD_QUALITY_COACHMARK"">Activity Details Leaderboard Quality Coachmark</span>",1628303383
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.DISTANCE_ELEVATION_NOTICE_DISMISSED"">Distance Elevation Notice Dismissed</span>",1628324655
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.RECORD_SCREEN_BEACON_COACHMARK"">Record Screen Beacon Coachmark</span>",1630858809
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_SETTINGS_PERSONAL_HEATMAP_COACHMARK"">Map Settings Personal Heatmap Coachmark</span>",1633826055
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1637457753
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1637457756
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1637458617
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1637458707
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_DISMISSED"">Map Visibility Activity Coachmark Dismissed</span>",1637458708
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1643231671
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1644462623
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1646352747
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1646352755
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1646352862
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647034481
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647043317
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647043510
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647270896
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647646596
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647646696
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647792484
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647992375
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647994032
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1647995033
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648266192
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648266201
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648272983
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648404354
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648404725
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WELCOME_BACK_KUDOS_COACHMARK_IMPRESSION"">Welcome Back Kudos Coachmark Impression</span>",1648420943
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.ROUTE_FROM_ACTIVITY_MORE_OPTIONS_BUTTON_COACHMARK"">Route From Activity More Options Button Coachmark</span>",1637457715
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.ROUTE_FROM_ACTIVITY_SAVE_BUTTON_COACHMARK"">Route From Activity Save Button Coachmark</span>",1637458619
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_SETTING_COG_COACHMARK"">Map Visibility Setting Cog Coachmark</span>",1646190797
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_NEW_LABEL_COACHMARK"">Map Visibility New Label Coachmark</span>",1646190804
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_SETTING_ROW_COACHMARK"">Map Visibility Setting Row Coachmark</span>",1646190804
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.MAP3D_EDUCATION_VISIBILITY"">Map3 D Education Visibility</span>",1646107603
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.ROUTE_LONG_PRESS_COACHMARK"">Route Long Press Coachmark</span>",1647024046
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WINBACK_NOTIFICATION_SEEN"">Winback Notification Seen</span>",1647034402
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WINBACK_NOTIFICATION_SEEN"">Winback Notification Seen</span>",1647407519
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WINBACK_NOTIFICATION_SEEN"">Winback Notification Seen</span>",1647983234
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.WINBACK_NOTIFICATION_SEEN"">Winback Notification Seen</span>",1648402240
